# C AI Review Rules (Detectable=No)
# Format: RULE_ID|RULE_DESCRIPTION
C-01-04|Pointer variables must not be declared on the same line as non-pointer types
C-01-25|All code text including comments must be in English
C-01-26|Code should be self-explanatory, avoid unnecessary comments
C-02-01|Do not use typedef to hide struct and pointer definitions
C-02-02|Use goto only for common resource cleanup at function exit
C-02-03|Goto label names must clearly describe the purpose
C-02-04|Use direct return instead of goto for simple exits without cleanup
C-02-06|Do not use macros that affect caller control flow
C-02-07|Macros must not reference external variables not passed as arguments
C-02-09|Do not use macros as L-values for assignment
C-03-01|Global variable and function names must be descriptive
C-03-02|Local variables can be concise but should follow conventions
C-03-03|Do not use ambiguous abbreviations known only to the developer
C-03-06|Do not use Hungarian notation
C-04-01|Functions should be small and perform one clear task
C-04-06|Public functions must follow clear return value rules
C-04-07|Action functions return int error code (0: success, <0: failure)
C-04-08|State check functions return bool
C-04-09|Do not reimplement standard macros or library functions
